"modelnum","iteration","formula","random_slope","interaction","snp","minAIC","avgbeta","p","avgAIC","pctConverged","pctBestAIC"
1,484,"fev1~snp+age+age_c2+time+time*snp","time","snp:time","snp_null",-1203.35904532276,7.6e-06,0.54,-451.92854,74,0
2,578,"fev1~snp+age+age_c2+time+time*snp","age","snp:time","snp_null",-1361.13230886428,4.9e-06,0.4,-658.15168,99,82.9
3,578,"fev1~snp+age+age_c2+time+age*snp","age","snp:age","snp_null",-1359.91754928813,1.5e-05,0.28,-655.41574,98,17.1
4,484,"fev1~snp+age+age_c2+time+age*snp","time","snp:age","snp_null",-1199.34736245193,1.4e-05,0.64,-447.85542,75,0
5,484,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp:age","snp_null",-1188.54259668879,1.5e-05,0.49,-437.341,73,0
5,484,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp:time","snp_null",-1188.54259668879,-1.7e-05,0.42,-437.341,73,0
6,484,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline","time","snp:time","snp_null",-381.735659337352,4e-07,0.64,439.58387,75,0
